allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
0,0,0,Blue,4,8,224,11,Mage,None,4549,Fiddlesticks,14087,492,8,1,3,1,Red,8,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-150.0999999999999,446.29999999999995,7077,2,3074036276,None,Soytuchulo,712,49,6,6,0
0,2,1,Red,10,16,330,12,Mage,None,4549,Fiddlesticks,18909,385,3,0,0,0,Blue,0,None,Ally,False,False,Ally,Ally,False,Ally,False,176.0,400.20000000000005,9336,7,3074018184,Ally,Soytuchulo,1629,46,8,2,1
0,2,1,Red,8,15,212,12,Mage,None,4549,Fiddlesticks,16835,1330,9,0,1,0,Blue,2,None,Ally,False,False,Enemy,Ally,True,Ally,False,-32.09999999999991,392.0999999999999,8531,4,3074016479,Enemy,Soytuchulo,1770,67,7,4,1
1,3,4,Red,11,13,425,14,Mage,None,4549,Fiddlesticks,20097,4154,6,0,0,0,Blue,2,Ally,Ally,False,True,Ally,Ally,False,Ally,False,-397.5999999999999,-115.40000000000009,10198,6,3074031675,Ally,Soytuchulo,4419,28,7,2,1
1,1,0,Blue,5,5,346,14,Mage,None,4549,Fiddlesticks,12905,2154,3,0,0,0,Red,1,Ally,Enemy,False,False,Ally,None,None,Enemy,False,-386.79999999999995,-451.0999999999999,8979,6,3074013773,None,Soytuchulo,3511,14,4,2,1
1,4,1,Red,6,15,302,18,Mage,None,3563,Xerath,50198,10451,3,1,2,3,Blue,10,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,-202.4000000000001,241.29999999999995,20363,14,3074020288,Enemy,Soytuchulo,6293,37,2,4,1
1,4,1,Red,8,12,229,16,Mage,None,3563,Xerath,36760,8987,4,0,0,0,Blue,3,Ally,Ally,False,False,Ally,Ally,True,Enemy,False,-42.299999999999955,62.90000000000009,12052,5,3074005791,None,Soytuchulo,3414,26,2,1,1
1,3,2,Red,9,1,47,16,Mage,None,26033,Ryze,34387,12023,3,0,0,0,Blue,4,Ally,Enemy,False,False,Ally,Ally,True,Enemy,False,-149.5999999999999,380.29999999999995,13637,12,3073995196,Enemy,Soytuchulo,6084,17,1,2,1
0,0,0,Blue,1,3,503,16,Marksman,None,31642,Teemo,25399,3770,2,2,4,4,Red,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-474.70000000000005,-352.5,11603,6,3073992425,Enemy,Soytuchulo,5483,24,3,6,0
0,4,0,Red,7,1,414,15,Marksman,None,31642,Teemo,18824,6646,3,0,0,0,Blue,2,None,Ally,False,False,Ally,None,None,Ally,False,264.20000000000005,-188.0999999999999,10710,3,3073977005,Enemy,Soytuchulo,4529,28,4,3,1
1,4,3,Red,11,8,274,18,Mage,None,11416,TwistedFate,38060,13408,3,0,0,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Ally,False,73.59999999999991,63.299999999999955,17717,13,3073955675,None,Soytuchulo,6498,33,3,7,1
0,0,0,Red,0,0,56,9,Tank,None,129,Nunu,524,0,1,0,2,2,Blue,10,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-331.29999999999995,-567.3,4068,0,3035212045,None,Pray Fans,1444,0,1,0,0
1,3,2,Blue,9,6,304,15,Fighter,None,3105,Riven,12111,16502,4,0,0,0,Red,1,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-121.59999999999991,541.0,11476,7,3035181739,None,Pray Fans,8033,23,1,1,1
1,2,3,Red,11,11,378,15,Tank,None,1930,Amumu,11897,25938,2,0,1,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-15.0,366.9000000000001,10874,4,3035153883,Ally,Pray Fans,7300,19,2,0,1
2,2,2,Blue,10,16,808,17,Tank,None,1930,Amumu,17126,24616,7,0,1,0,Red,3,Ally,Enemy,False,False,Ally,Ally,True,Enemy,False,46.5,-333.4000000000001,12150,2,3035125163,Enemy,Pray Fans,7266,27,6,4,1
0,2,0,Blue,3,3,19,11,Fighter,None,5474,Irelia,5730,1779,1,0,0,0,Red,0,None,Enemy,False,False,Ally,None,None,Ally,False,144.70000000000005,212.5999999999999,6688,3,3035095903,Ally,Pray Fans,1303,9,1,1,1
1,2,0,Red,4,7,47,14,Assassin,None,6564,Akali,14711,4195,5,0,1,0,Blue,2,Ally,Ally,False,False,Enemy,None,None,Ally,False,592.4000000000001,142.0,10054,9,3035070145,None,Pray Fans,4274,9,1,1,1
0,0,0,Blue,0,2,264,11,Fighter,None,287,Urgot,5727,2502,6,0,2,2,Red,10,None,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-171.79999999999995,101.5,6659,4,3035053184,Enemy,Pray Fans,3836,11,2,5,0
0,1,0,Blue,3,10,310,13,Fighter,None,5988,LeeSin,12977,15552,7,1,3,2,Red,9,Enemy,Ally,False,False,Ally,Enemy,False,Enemy,False,-325.5,-184.5999999999999,10975,7,3034962238,Ally,Pray Fans,6815,14,3,1,0
0,1,1,Blue,6,9,290,11,Fighter,None,5988,LeeSin,6173,22682,1,0,0,0,Red,0,None,Ally,False,True,Ally,Ally,False,Ally,False,-533.8,-315.79999999999995,8862,5,3034937134,Ally,Pray Fans,4497,13,2,1,1
0,0,0,Red,1,5,46,12,Marksman,None,16244,Ezreal,18667,52,5,1,2,2,Blue,9,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,-17.299999999999955,-229.0999999999999,9745,5,3034931121,Enemy,Pray Fans,1119,8,0,2,0
0,0,0,Red,2,7,281,17,Marksman,None,10370,Kaisa,23395,9638,7,2,5,4,Blue,11,Enemy,Ally,False,False,Enemy,Enemy,False,Ally,False,427.4000000000001,206.79999999999995,15060,8,3034914221,Enemy,Pray Fans,3606,11,1,0,0
0,1,0,Red,1,5,170,15,Assassin,None,11462,Kassadin,21852,1825,3,1,3,2,Blue,9,Enemy,Enemy,False,False,Ally,Enemy,False,Enemy,False,38.200000000000045,-4.2999999999999545,11788,7,3219626002,None,Jjangkkola,10430,26,3,2,0
0,1,0,Red,2,6,9,13,Marksman,None,77206,Ezreal,9468,3343,7,0,4,1,Blue,9,None,Enemy,False,False,Ally,Enemy,False,Enemy,False,0.599999999999909,529.4000000000001,8302,2,3218067002,Ally,Jjangkkola,1618,8,0,0,0
1,2,2,Blue,10,16,183,16,Fighter,None,9011,Shyvana,26397,16623,3,0,2,0,Red,3,Ally,Ally,False,False,Enemy,Ally,False,Ally,False,13.700000000000045,-225.5,12977,6,3217449532,Enemy,Jjangkkola,14915,32,6,6,1
1,4,1,Blue,9,19,715,18,Assassin,None,6601,Nocturne,36262,28031,11,2,2,2,Red,9,Ally,Enemy,False,False,Ally,Enemy,False,Enemy,False,165.0999999999999,-48.799999999999955,16954,15,3217481594,Enemy,Jjangkkola,13594,37,2,8,1
0,2,0,Blue,5,11,691,18,Marksman,None,28800,Graves,53058,27833,6,1,3,1,Red,7,Enemy,Ally,False,False,Enemy,Enemy,False,Ally,False,594.5,569.8,19073,16,3217386153,Ally,Jjangkkola,15143,32,3,4,0
1,4,1,Blue,9,20,323,17,Mage,None,34655,Ahri,33542,13875,4,0,0,0,Red,5,Ally,Ally,False,True,Ally,Ally,True,Ally,False,420.5,281.79999999999995,16058,13,3216601804,Enemy,Jjangkkola,3042,24,3,3,1
0,3,1,Red,7,7,435,15,Fighter,None,80952,LeeSin,12359,20536,6,0,2,1,Blue,6,None,Ally,False,True,Enemy,Ally,False,Ally,False,146.29999999999995,13.5,12476,4,3216494559,Enemy,Jjangkkola,12711,34,11,2,0
1,3,2,Blue,10,17,366,16,Fighter,None,7813,DrMundo,48763,55198,4,0,2,0,Red,2,Ally,Enemy,False,False,Enemy,Ally,True,Ally,False,646.7,-6.599999999999909,17437,19,3216457727,Ally,Jjangkkola,25224,24,1,3,1
0,4,1,Red,6,3,93,17,Fighter,None,18100,Irelia,15929,12366,6,1,1,1,Blue,6,Enemy,Ally,False,False,Ally,Enemy,False,Ally,False,456.4000000000001,-97.20000000000005,14376,7,3216430793,None,Jjangkkola,7655,31,5,2,0
0,0,0,Blue,3,10,366,15,Mage,None,13592,Lux,37726,416,7,0,4,2,Red,9,None,Ally,False,False,Enemy,Enemy,False,Enemy,False,140.9000000000001,-44.90000000000009,11924,6,3216205463,Ally,Jjangkkola,4002,24,5,2,0
2,4,4,Blue,9,7,298,18,Fighter,None,10791,Garen,75748,23693,5,0,3,1,Red,6,Ally,Enemy,False,False,Enemy,Ally,False,Enemy,False,-18.200000000000045,158.0,26115,23,3216167595,Ally,Jjangkkola,24334,37,2,6,0
0,2,1,Red,7,6,90,17,Mage,None,17217,Ryze,18083,5972,10,2,3,1,Blue,8,Enemy,Ally,False,False,Ally,Ally,True,Ally,True,726.3,-149.20000000000005,13149,3,3221247978,Ally,YouGotOutFlayed,7909,20,0,3,0
1,2,1,Red,8,9,52,14,Mage,None,17217,Ryze,15933,8379,7,0,2,0,Blue,3,Ally,Ally,False,False,Ally,Ally,True,Enemy,False,138.5999999999999,559.0,10225,5,3221225038,None,YouGotOutFlayed,4227,6,0,0,1
0,0,0,Blue,0,3,31,10,Mage,None,17217,Ryze,6445,493,4,0,2,0,Red,0,None,Ally,False,False,Enemy,None,None,None,None,-132.5999999999999,448.5,5268,1,3220499592,None,YouGotOutFlayed,1843,6,0,0,0
1,4,1,Blue,7,10,77,16,Mage,None,17217,Ryze,29433,7674,3,0,0,0,Red,3,Ally,Ally,False,False,Ally,Ally,True,Ally,False,272.20000000000005,-282.5,13363,9,3220016240,Enemy,YouGotOutFlayed,13632,18,0,2,1
1,1,2,Blue,8,3,56,16,Mage,None,17217,Ryze,22713,22765,0,0,0,0,Red,0,Ally,Enemy,False,False,Ally,Ally,True,Ally,False,105.20000000000005,391.5999999999999,13959,12,3219751885,Ally,YouGotOutFlayed,8738,5,0,0,1
0,1,1,Blue,8,10,67,13,Mage,None,17217,Ryze,19957,9712,2,0,2,0,Red,0,None,Ally,False,False,Enemy,Ally,False,Ally,False,103.20000000000005,644.0999999999999,11973,12,3219707399,Ally,YouGotOutFlayed,9180,9,0,1,1
0,2,1,Blue,5,12,226,17,Fighter,None,91078,Udyr,14713,15283,10,2,3,3,Red,11,Enemy,Ally,False,False,Ally,Ally,True,Enemy,False,223.5999999999999,315.9000000000001,12451,4,3219649416,Enemy,YouGotOutFlayed,13883,23,0,2,0
0,0,0,Red,1,1,64,14,Mage,None,17217,Ryze,14746,1206,7,0,4,0,Blue,6,None,Enemy,False,False,Enemy,None,None,Enemy,False,102.40000000000009,592.4000000000001,10856,7,3218369774,None,YouGotOutFlayed,5479,11,0,1,0
0,1,0,Red,1,6,89,14,Assassin,None,90301,Khazix,17065,10978,13,1,3,2,Blue,10,Enemy,Ally,False,False,Enemy,Enemy,False,Enemy,False,177.0999999999999,-38.5,12273,8,3217770993,Enemy,YouGotOutFlayed,13451,29,0,4,0
1,3,1,Red,5,7,225,14,Fighter,None,91078,Udyr,15246,39163,3,0,0,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Enemy,False,599.9000000000001,434.4000000000001,12012,14,3217707251,Ally,YouGotOutFlayed,12066,21,0,3,1
1,2,0,Blue,2,7,69,18,Mage,None,17217,Ryze,39147,17306,4,0,2,2,Red,11,Ally,Ally,False,False,Enemy,Enemy,False,Enemy,False,187.70000000000005,650.5999999999999,17321,15,3217680913,None,YouGotOutFlayed,14367,12,0,0,0
