allyBaronKills,allyDragonKills,allyInhibitorKills,allySide,allyTowerKills,assists,ccScore,champLevel,championClass,championID,championMastery,championName,damageToChampions,damageToObjectives,deaths,enemyBaronKills,enemyDragonKills,enemyInhibitorKills,enemyTowerKills,firstBaron,firstBlood,firstBloodAssist,firstBloodKill,firstDragon,firstInhibitor,firstInhibitorAssist,firstTower,firstTowerAssist,fiveMinuteGoldDelta,fiveMinuteXPDelta,goldEarned,kills,matchId,riftHerald,summonerName,totalHealed,visionScore,visionWardsPurchased,wardKills,win
1,0,1,Red,6,16,460,16,Tank,None,6069,JarvanIV,18718,13208,6,0,3,0,Blue,8,Ally,Ally,False,False,Enemy,Ally,True,Enemy,False,-58.799999999999955,-498.20000000000005,12300,7,3152552997,Enemy,0 Mi Tuo Fo,10358,12,0,5,1
0,0,0,Red,0,6,363,13,Tank,None,6069,JarvanIV,10275,5041,10,1,3,3,Blue,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-190.4000000000001,176.0999999999999,8982,4,3151499911,Enemy,0 Mi Tuo Fo,6792,26,3,5,0
1,1,0,Red,2,3,155,14,Assassin,None,178,Talon,10011,6618,14,0,3,1,Blue,8,Ally,Enemy,False,False,Ally,Enemy,False,Enemy,False,105.90000000000009,3.900000000000091,9544,4,3138606798,Enemy,0 Mi Tuo Fo,3602,9,0,1,0
0,0,0,Blue,0,5,387,14,Fighter,None,154669,XinZhao,16740,681,5,1,2,3,Red,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,41.5,-211.79999999999995,11031,8,3092494895,None,0 Mi Tuo Fo,11263,16,0,4,0
0,4,5,Blue,11,8,74,16,Fighter,None,130563,MonkeyKing,43246,9445,2,0,0,0,Red,1,None,Ally,False,True,Ally,Ally,True,Ally,False,688.9000000000001,681.5,17656,23,3092241754,Ally,0 Mi Tuo Fo,4439,16,0,2,1
1,3,2,Red,10,5,156,14,Fighter,None,19391,Udyr,13938,38404,5,0,0,0,Blue,2,Ally,Ally,False,False,Ally,Ally,False,Ally,False,-8.299999999999955,-332.5,11578,9,3091485722,Ally,0 Mi Tuo Fo,6711,16,0,2,1
0,1,0,Red,5,1,81,14,Fighter,None,159612,Jax,14881,6278,1,0,0,0,Blue,0,None,Enemy,False,False,Ally,None,None,Ally,False,-191.5,427.5,9632,8,3091473549,None,0 Mi Tuo Fo,3158,16,0,4,1
0,0,0,Red,2,3,229,15,Fighter,None,149115,Kayn,19135,8404,6,0,2,1,Blue,9,None,Ally,False,True,Enemy,Enemy,False,Enemy,False,-388.4000000000001,-512.3,11266,5,3090477513,None,0 Mi Tuo Fo,8146,9,0,0,0
0,0,0,Red,0,0,111,8,Assassin,None,143507,Khazix,1834,674,6,0,0,0,Blue,5,None,Enemy,False,False,None,None,None,Enemy,False,-548.5,-388.20000000000005,4438,1,3090394648,None,0 Mi Tuo Fo,4551,8,0,1,0
0,2,3,Red,8,8,270,15,Assassin,None,528860,Evelynn,15165,29290,4,1,1,0,Blue,2,Enemy,Enemy,False,False,Enemy,Ally,False,Ally,True,407.70000000000005,296.9000000000001,14144,12,3090367609,Ally,0 Mi Tuo Fo,8627,39,4,1,1
0,4,1,Blue,7,13,113,17,Assassin,None,1173,Talon,32164,3585,11,1,1,0,Red,5,Enemy,Ally,False,False,Ally,Ally,False,Enemy,False,59.09999999999991,261.70000000000005,14582,14,3221364252,Enemy,Dandon39800,8023,28,2,3,1
0,2,1,Blue,9,5,861,17,Tank,None,14008,Singed,28225,12417,9,1,4,1,Red,7,Enemy,Enemy,False,False,Ally,Ally,False,Ally,False,509.9000000000001,643.3,15146,5,3221299451,None,Dandon39800,12832,22,0,2,0
0,1,0,Blue,2,2,74,13,Fighter,None,4768,Garen,12328,4528,0,0,2,0,Red,2,None,Enemy,False,False,Ally,None,None,Ally,False,91.20000000000005,362.0999999999999,8898,4,3220536764,Ally,Dandon39800,2321,14,0,2,0
0,0,0,Blue,0,5,121,14,Fighter,None,33917,Camille,16652,0,8,1,4,2,Red,7,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,22.59999999999991,705.9000000000001,10428,9,3220054501,Enemy,Dandon39800,3861,7,1,1,0
1,1,0,Blue,3,3,364,15,Tank,None,14008,Singed,16383,1406,6,0,3,1,Red,6,Ally,Enemy,False,False,Ally,Enemy,False,Enemy,False,-298.20000000000005,310.29999999999995,10726,4,3220053657,None,Dandon39800,5182,12,0,2,0
1,1,4,Blue,11,13,31,15,Marksman,None,971,Tristana,16181,7430,8,0,3,0,Red,3,Ally,Ally,False,False,Enemy,Ally,False,Ally,False,-213.5999999999999,-449.20000000000005,11065,5,3214800791,None,Dandon39800,2976,15,0,0,1
0,0,0,Blue,0,0,41,10,Assassin,None,5225,Zed,7476,0,5,0,1,0,Red,4,None,Ally,False,True,Enemy,None,None,Enemy,False,302.0999999999999,234.0,5459,6,3214770566,Enemy,Dandon39800,0,10,3,0,0
0,0,0,Blue,3,7,85,15,Fighter,None,4768,Garen,15735,4035,5,2,4,5,Red,11,Enemy,Enemy,False,False,Enemy,Enemy,False,Enemy,False,-32.90000000000009,378.70000000000005,10020,3,3214739128,Ally,Dandon39800,3218,13,0,0,0
0,2,3,Blue,11,8,125,13,Fighter,None,33917,Camille,9250,4881,2,0,0,0,Red,0,None,Ally,False,False,Ally,Ally,False,Ally,False,260.0,195.5999999999999,9188,4,3210868650,None,Dandon39800,1953,8,0,2,1
